NrKR;ROURO;MURO;RAHF;NRMATKI;RMHF;NROJCA;ROHF;ROKWY;MIEWY;KGMLE;KGT£U;PRT£U;KGBIA£;PRBIA£
43391808;1996;3;0.72;43332271;0.5;9008940;0.94;1998;5;6034;223;3.69;193;3.2
37789113;1995;2;0.5;43332180;0.5;1248615;0.5;1997;4;4935;190;3.85;147;2.98
43380732;1994;8;0.25;433121889;0;1248615;0.5;1996;11;5249;213;4.05;166;3.16
43379249;1994;3;0.62;37759184;0.25;546745;1;1996;10;5593;273;4.88;187;3.36
43380745;1994;8;0.68;43332093;0.37;4719546;1;1996;10;5324;202;3.8;154;2.9
43379948;1994;4;0.81;43312293;0.62;4719546;1;1996;12;6415;256;3.99;190;2.96
53300184;1995;10;0.67;37777088;0.35;4719546;1;1998;1;5937;228;3.83;167;2.81
43380751;1994;9;0.62;27764339;0.25;4719546;1;1996;12;5036;212;4.21;162;3.22
43379932;1994;4;0.5;277838256;0;4719546;1;1996;11;5780;241;4.17;176;3.04
53300156;1995;8;0.5;43369820;0;4719546;1;1998;3;6587;229;3.47;211;3.21
43380777;1994;10;0.68;43332594;0.37;4719546;1;1996;12;6849;242;3.54;189;2.76
43380746;1994;8;0.62;37777016;0.25;4719546;1;1997;5;5455;245;4.5;181;3.33
43380771;1994;9;0.5;33354238;1;4719546;1;1996;12;5276;202;3.83;163;3.08
43380792;1994;10;0.5;37777032;0;4719546;1;1996;12;6478;240;3.7;179;2.76
43390967;1995;1;0.75;43312384;0.5;4719546;1;1997;3;5856;226;3.86;177;3.03
43380758;1994;9;0.5;43338892;0;4719546;1;1996;11;4790;189;3.94;139;2.9
43380757;1994;9;0.59;433324461;0.25;9027647;0.94;1996;12;6492;262;4.04;198;3.05
43391610;1996;1;0.75;37759137;0.5;6456342;1;1998;7;4905;211;4.31;169;3.45
53313231;1998;5;0.62;433909083;0.43;371401;0.81;2000;9;1811;106;5.86;51;2.85
43380721;1994;8;0.78;43352378;0.56;4719546;1;1996;9;3877;159;4.09;122;3.15
53308512;1997;8;0.62;43370356;0.85;551948;1;2000;3;7264;256;3.53;211;2.91
53301261;1996;6;0.67;43332282;0.6;910112;0.75;1998;12;4559;190;4.16;142;3.11
43393786;1996;10;0.5;43332528;0;551948;1;1999;3;4832;171;3.53;145;3
43353142;1993;1;0.37;333722375;0;5804518;0.75;1995;8;3824;158;4.11;124;3.23
43380748;1994;8;0.68;33389233;0.5;5115711;0.87;1997;3;5584;217;3.89;178;3.18
43394312;1996;12;0.62;43370384;0.62;720905;0.63;1999;4;4009;163;4.07;129;3.21
43372876;1993;9;0.62;37759126;0.25;5441348;1;1995;11;4294;156;3.64;135;3.14
43392124;1996;4;0.75;37759007;0.5;1464142;1;1998;6;5807;220;3.79;186;3.2
53308355;1997;6;0.72;43379228;0.44;7186346;1;1999;10;4560;182;4;157;3.44
37789136;1995;4;0.75;43332238;0.5;4719546;1;1997;6;5399;224;4.16;166;3.08
53313230;1998;5;0.47;433799933;0;9067344;0.94;2000;9;1065;36;3.36;33;3.12
43393789;1996;11;0.5;33354101;0;551948;1;1999;3;4720;204;4.33;152;3.23
43394318;1996;12;0.87;433799488;0.75;5511948;1;1999;8;4256;168;3.94;138;3.24
